orderDate,invoiceNumber,customerID,customerName,productID,productName,category,quantityBought,sellingPrice,unitCost,InvoiceSales,InvoiceCost,shipmentDate
2024-04-26,1,10,Elegant Hosts of Beachburg,10,Fragrance-Free Cotton Handkerchiefs,paper towel & tissue,2,31.5,18,63,36,2024-04-29
2024-04-26,1,10,Elegant Hosts of Beachburg,96,Convenient Transfer Paper,copy paper,1,51.15,33,51.15,33,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,22,Leak-Proof Scissors,office products,3,41.58,27,124.74,81,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,29,Leak-Proof File Folders,office products,2,67.95,45,135.9,90,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,35,Practical File Folders,office products,2,65.33,47,130.66,94,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,36,Practical File Folders,office products,2,37.92,24,75.84,48,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,43,Safe Citrus Scented Cleaner,cleaning supplies,1,66.23,37,66.23,37,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,52,Effective Citrus Scented Cleaner,cleaning supplies,2,109.2,60,218.4,120,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,57,Industrial Dryer Sheets,cleaning supplies,2,96.12,54,192.24,108,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,58,High-Quality Citrus Scented Cleaner,cleaning supplies,3,74.98,46,224.94,138,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,69,Eco-Friendly Energy Drinks,breakroom supplies,1,58.58,29,58.58,29,2024-04-29
2024-04-26,2,15,Sleek Providers of Rivercity,70,Premium Quality Fresh Fruits,breakroom supplies,1,23.54,11,23.54,11,2024-04-29
2024-04-26,3,31,Opulent Scrubbers of Meadowburg,46,High-Quality Bathroom Cleaner,cleaning supplies,9,99.6,60,896.4,540,2024-04-29
2024-04-26,3,31,Opulent Scrubbers of Meadowburg,47,Powerful Toilet Bowl Cleaner,cleaning supplies,10,70.52,43,705.1999999999999,430,2024-04-29
2024-04-26,3,31,Opulent Scrubbers of Meadowburg,48,Powerful Carpet Stain Remover,cleaning supplies,11,33.2,20,365.20000000000005,220,2024-04-29
2024-04-26,3,31,Opulent Scrubbers of Meadowburg,53,Eco-Friendly Carpet Stain Remover,cleaning supplies,10,39.6,24,396,240,2024-04-29
2024-04-26,3,31,Opulent Scrubbers of Meadowburg,94,Biodegradable Sketchbooks,copy paper,3,33.44,22,100.32,66,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,41,Eco-Friendly Laundry Detergent,cleaning supplies,1,63.04,32,63.04,32,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,64,Eco-Friendly Fresh Fruits,breakroom supplies,3,36.67,19,110.01,57,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,68,Wholesome Healthy Snacks,breakroom supplies,1,37.62,22,37.62,22,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,71,Delicious Instant Soups,breakroom supplies,1,61.19,29,61.19,29,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,78,Sustainable Snacks,breakroom supplies,2,33.92,16,67.84,32,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,80,Eco-Friendly Tea Selection,breakroom supplies,1,52.36,28,52.36,28,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,85,Versatile Sketchbooks,copy paper,9,38.61,27,347.49,243,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,90,Vibrant Cardstock,copy paper,5,39.52,26,197.60000000000002,130,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,91,Smooth Colored Paper,copy paper,6,47.1,30,282.6,180,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,93,Convenient Colored Paper,copy paper,5,62.48,44,312.4,220,2024-04-29
2024-04-26,4,35,Clean Caretakers of Lakecity,96,Convenient Transfer Paper,copy paper,4,48.84,33,195.36,132,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,2,Absorbent Disinfecting Wipes,paper towel & tissue,4,33.75,25,135,100,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,4,Hygienic Absorbent Towels,paper towel & tissue,3,47.6,35,142.8,105,2024-04-29
